taster_name,title,variety,winery,points
Kerin Oâ€™Keefe,Massolino 2012 Parussi  (Barolo),Nebbiolo,Massolino,94
Kerin Oâ€™Keefe,Nada Giuseppe 2011 Casot Riserva  (Barbaresco),Nebbiolo,Nada Giuseppe,94
Kerin Oâ€™Keefe,Azelia 2012 San Rocco  (Barolo),Nebbiolo,Azelia,94
Kerin Oâ€™Keefe,Adriano Marco & Vittorio 2013 Sanadaive  (Barbaresco),Nebbiolo,Adriano Marco & Vittorio,94
Kerin Oâ€™Keefe,Albino Rocca 2013 Ovello  (Barbaresco),Nebbiolo,Albino Rocca,94
Kerin Oâ€™Keefe,Vie di Romans 2015 Flors di Uis White (Isonzo del Friuli),White Blend,Vie di Romans,91
Kerin Oâ€™Keefe,Vie di Romans 2015 Piere Sauvignon (Friuli Isonzo),Sauvignon,Vie di Romans,91
Kerin Oâ€™Keefe,CÃ  di Frara 2004 Oltre Nature Metodo Classico Riserva Sparkling (Vino Spumante),Sparkling Blend,CÃ  di Frara,89
Kerin Oâ€™Keefe,Conte Collalto NV Brut  (Valdobbiadene Prosecco Superiore),Glera,Conte Collalto,89
Kerin Oâ€™Keefe,Marchiori NV Profili Extra Dry  (Valdobbiadene Prosecco Superiore),Glera,Marchiori,89
Kerin Oâ€™Keefe,Masottina 2014 Rive di Ogliano Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Masottina,89
Kerin Oâ€™Keefe,Matteo Correggia 2005 Severina Blanc de Blancs Extra Brut Metodo Classico Sparkling (Vino Spumante),Sparkling Blend,Matteo Correggia,89
Kerin Oâ€™Keefe,Silvano Follador 2014 Brut Nature  (Valdobbiadene Prosecco Superiore),Glera,Silvano Follador,89
Kerin Oâ€™Keefe,Sommariva NV Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Sommariva,89
Kerin Oâ€™Keefe,Villa Sandi 2009 Opere Millesimato Metodo Classico Sparkling (Vino Spumante),Sparkling Blend,Villa Sandi,89
Kerin Oâ€™Keefe,Raphael Dal Bo 2014 Brut Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Raphael Dal Bo,88
Kerin Oâ€™Keefe,Raphael Dal Bo 2014 Extra Dry Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Raphael Dal Bo,88
Kerin Oâ€™Keefe,Tenuta CÃ  Bolani NV  Prosecco,Glera,Tenuta CÃ  Bolani,88
Kerin Oâ€™Keefe,Tenuta degli Ultimi 2013 Rive di Collato  (Valdobbiadene Prosecco Superiore),Sparkling Blend,Tenuta degli Ultimi,88
Kerin Oâ€™Keefe,Villa Sandi 2012 Opere Serenissima Metodo Classico Sparkling (Vino Spumante),Sparkling Blend,Villa Sandi,88
Kerin Oâ€™Keefe,Bellussi NV Belcanto Dry  (Valdobbiadene Superiore di Cartizze),Glera,Bellussi,88
Kerin Oâ€™Keefe,Borgoluce 2014 Rive di Collalto Brut  (Valdobbiadene Prosecco Superiore),Glera,Borgoluce,88
Kerin Oâ€™Keefe,Trerose 2013 Santa Caterina  (Vino Nobile di Montepulciano),Sangiovese,Trerose,88
Kerin Oâ€™Keefe,La Collina dei Lecci 2012  Brunello di Montalcino,Sangiovese,La Collina dei Lecci,88
Kerin Oâ€™Keefe,Marchesi Gondi 2011 Villa Bossi Riserva  (Chianti Rufina),Red Blend,Marchesi Gondi,88
Kerin Oâ€™Keefe,Baccinetti 2012 Saporoia  (Brunello di Montalcino),Sangiovese,Baccinetti,88
Kerin Oâ€™Keefe,Badia di Morrona 2013 I Sodi del Paretaio Riserva  (Chianti),Sangiovese,Badia di Morrona,88
Kerin Oâ€™Keefe,Belpoggio 2012  Brunello di Montalcino,Sangiovese,Belpoggio,88
Kerin Oâ€™Keefe,Gracciano della Seta 2012 Riserva  (Vino Nobile di Montepulciano),Red Blend,Gracciano della Seta,88
Kerin Oâ€™Keefe,Antico Colle 2013  Vino Nobile di Montepulciano,Red Blend,Antico Colle,88
Kerin Oâ€™Keefe,Argentiera 2013 Villa Donoratico  (Bolgheri),Red Blend,Argentiera,88
Kerin Oâ€™Keefe,Casa Raia 2012  Brunello di Montalcino,Sangiovese,Casa Raia,88
Kerin Oâ€™Keefe,Viberti 2011 San Pietro Riserva  (Barolo),Nebbiolo,Viberti,89
Kerin Oâ€™Keefe,Virna Borgogno 2013 Cannubi Boschis  (Barolo),Nebbiolo,Virna Borgogno,89
Kerin Oâ€™Keefe,Arnaldo Rivera 2013 Bussia  (Barolo),Nebbiolo,Arnaldo Rivera,89
Kerin Oâ€™Keefe,Batasiolo 2013  Barolo,Nebbiolo,Batasiolo,89
Kerin Oâ€™Keefe,Casa Belfi NV Colfondo Anfora Glera (Vino da Tavola),Glera,Casa Belfi,89
Kerin Oâ€™Keefe,Cantina Terre del Barolo 2011 Riserva  (Barolo),Nebbiolo,Cantina Terre del Barolo,89
Kerin Oâ€™Keefe,Cascina Chicco 2013 Rocche del Castelletto  (Barolo),Nebbiolo,Cascina Chicco,89
Kerin Oâ€™Keefe,Fontanafredda 2014 Marne Brune  (Nebbiolo d'Alba),Nebbiolo,Fontanafredda,89
,Marchesi Antinori 2009 PÃ¨ppoli  (Chianti Classico),Sangiovese,Marchesi Antinori,87
,Mocali 2011 Fossetti White (Toscana),White Blend,Mocali,87
,Motta 2010 Pievi  (Bolgheri),Red Blend,Motta,87
,Melini 2005 Terrarossa Riserva  (Chianti Classico),Sangiovese,Melini,87
,Rampa di Fugnano 2011 Alata  (Vernaccia di San Gimignano),Vernaccia,Rampa di Fugnano,87
,Donna Olimpia 1898 2011 Obizzo Vermentino (Toscana),Vermentino,Donna Olimpia 1898,87
,Gualdo del Re 2011 Eliseo Pinot Bianco (Toscana),Pinot Bianco,Gualdo del Re,87
,Pieve Vecchia 2008 Chorum  (Montecucco),Sangiovese,Pieve Vecchia,87
,Tenuta del Buonamico 2010 Etichetta Blu Red (Montecarlo),Red Blend,Tenuta del Buonamico,87
,Tenuta del Buonamico 2011 Vermentino (Montecarlo),Vermentino,Tenuta del Buonamico,87
,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Merlot,Tenuta dell'Ornellaia,100
,Le Macchiole 2007 Messorio Merlot (Toscana),Merlot,Le Macchiole,99
,Tenuta dell'Ornellaia 2006 Masseto Merlot (Toscana),Merlot,Tenuta dell'Ornellaia,97
,Castello di Ama 2006 L'Apparita Merlot (Toscana),Merlot,Castello di Ama,96
,Le Macchiole 2006 Paleo Cabernet Franc (Toscana),Cabernet Franc,Le Macchiole,96
,Tenuta Sette Ponti 2007 Oreno Red (Toscana),Red Blend,Tenuta Sette Ponti,96
,Mazzei 2007 Castello di Fonterutoli Siepi Red (Toscana),Red Blend,Mazzei,95
,Tenuta Argentiera 2007 Argentiera  (Bolgheri Superiore),Red Blend,Tenuta Argentiera,95
,Tenuta dell'Ornellaia 2005 Masseto Merlot (Toscana),Merlot,Tenuta dell'Ornellaia,95
Kerin Oâ€™Keefe,Produttori del Barbaresco 2009 Ovello Riserva  (Barbaresco),Nebbiolo,Produttori del Barbaresco,95
Kerin Oâ€™Keefe,Produttori del Barbaresco 2009 RabajÃ  Riserva  (Barbaresco),Nebbiolo,Produttori del Barbaresco,94
Kerin Oâ€™Keefe,Produttori del Barbaresco 2009 Asili Riserva  (Barbaresco),Nebbiolo,Produttori del Barbaresco,93
Kerin Oâ€™Keefe,Corte Sermana 2015 Cromalgo  (Lugana),Turbiana,Corte Sermana,87
Kerin Oâ€™Keefe,Capitoni 2010 Red (Orcia),Red Blend,Capitoni,91
Kerin Oâ€™Keefe,Murgo 2009 Extra Brut Metodo Classico Nerello Mascalese (Vino Spumante),Nerello Mascalese,Murgo,92
Kerin Oâ€™Keefe,Terrazze dell'Etna 2011 RosÃ© Brut Metodo Classico Red (Vino Spumante),Red Blend,Terrazze dell'Etna,92
Kerin Oâ€™Keefe,Murgo 2012 Brut RosÃ© Metodo Classico Nerello Mascalese (Vino Spumante),Nerello Mascalese,Murgo,92
,Valle dell'Acate 2009  Cerasuolo di Vittoria Classico,Red Blend,Valle dell'Acate,90
,Argiolas 2008 Korem Red (Isola dei Nuraghi),Red Blend,Argiolas,90
,Cusumano 2011 JalÃ© Chardonnay (Sicilia),Chardonnay,Cusumano,90
,Tenuta di Fessina 2010 Erse Rosso  (Etna),Red Blend,Tenuta di Fessina,90
,Canneto 2007 Filippone Red (Toscana),Red Blend,Canneto,93
,Cavalli Tenuta degli Dei 2007 Red (Toscana),Red Blend,Cavalli Tenuta degli Dei,93
,Sant Agnese dei F.lli Gigli 2004 Spirto Red (Toscana),Red Blend,Sant Agnese dei F.lli Gigli,93
,Tua Rita 2008 Perlato del Bosco Red (Toscana),Red Blend,Tua Rita,93
,Castello Banfi 2009 Cum Laude Red (Toscana),Red Blend,Castello Banfi,91
,Lungarotti 2007 Toralco Red (Umbria),Red Blend,Lungarotti,90
,Castelli del Grevepesa 2007 Clemente VII Settimo Red (Toscana),Red Blend,Castelli del Grevepesa,90
,ColleStefano 2010  Verdicchio di Matelica,Verdicchio,ColleStefano,87
,Villa Bellini 2006 Taso  (Valpolicella Classico Superiore),"Corvina, Rondinella, Molinara",Villa Bellini,87
,Corte Lenguin 2006  Amarone della Valpolicella Classico,"Corvina, Rondinella, Molinara",Corte Lenguin,87
,Gamba 2007 Campedel  (Valpolicella Classico Superiore Ripasso),"Corvina, Rondinella, Molinara",Gamba,87
,Salgari 2005 Colline di Moron Rabieto  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Salgari,87
,Tinazzi 2007 MonterÃ¨ CÃ  de' Rocchi  (Valpolicella Superiore Ripasso),"Corvina, Rondinella, Molinara",Tinazzi,87
,Sartori 2003 I Saltari Le Vigne di Turano  (Valpolicella Superiore),"Corvina, Rondinella, Molinara",Sartori,87
,Sartori 2005 Vigneti di Montegradella  (Valpolicella Classico Superiore),Red Blend,Sartori,87
,Tenuta di Angoris 2011 Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Tenuta di Angoris,88
,Umberto Cesari 2005 Tauleto Sangiovese (Rubicone),Sangiovese,Umberto Cesari,88
,Santa Lucia 2008 Vigna del Melograno Nero di Troia (Castel del Monte),Nero di Troia,Santa Lucia,88
,Trabucchi d'Illasi 2006 Terre del Cereolo  (Recioto della Valpolicella),"Corvina, Rondinella, Molinara",Trabucchi d'Illasi,88
,Verrone 2003 Aglianico (Cilento),Aglianico,Verrone,88
,Ronchi di Cialla 2008 Cialla Picolit (Colli Orientali del Friuli),Picolit,Ronchi di Cialla,88
,La Montecchia 2009 Donna Daria Moscato Giallo (Colli Euganei),Moscato Giallo,La Montecchia,88
,Le Bertarole 2007 Podere le Giarette  (Recioto della Valpolicella Classico),"Corvina, Rondinella, Molinara",Le Bertarole,88
,Kellerei Kaltern Caldaro 2011 Goldmuskateller Moscato Giallo (Alto Adige),Moscato Giallo,Kellerei Kaltern Caldaro,88
Kerin Oâ€™Keefe,Castello d'Albola 2013 Il Solatio Gran Selezione  (Chianti Classico),Sangiovese,Castello d'Albola,91
,Planeta 2005 Burdese Red (Sicilia),Red Blend,Planeta,92
,Soldera 2001 Case Basse  (Brunello di Montalcino),Sangiovese,Soldera,92
,Planeta 2005 Santa Cecilia Nero d'Avola (Sicilia),Nero d'Avola,Planeta,91
,Planeta 2006 Chardonnay (Sicilia),Chardonnay,Planeta,91
Kerin Oâ€™Keefe,Ugo Lequio 2012 Gallina  (Barbaresco),Nebbiolo,Ugo Lequio,93
Kerin Oâ€™Keefe,Vallana 2005  Gattinara,Nebbiolo,Vallana,93
Kerin Oâ€™Keefe,Massolino 2011 Parussi  (Barolo),Nebbiolo,Massolino,93
Kerin Oâ€™Keefe,Pala 2014 Stellato Nature  (Vermentino di Sardegna),Vermentino,Pala,93
Kerin Oâ€™Keefe,Anna Maria Abbona 2011  Barolo,Nebbiolo,Anna Maria Abbona,93
Kerin Oâ€™Keefe,Ascheri 2011 Sorano  (Barolo),Nebbiolo,Ascheri,93
Kerin Oâ€™Keefe,Azelia 2011 Bricco Fiasco  (Barolo),Nebbiolo,Azelia,93
Kerin Oâ€™Keefe,Colombera & Garella 2010  Bramaterra,Red Blend,Colombera & Garella,93
Kerin Oâ€™Keefe,Elio Grasso 2011 Gavarini Chiniera  (Barolo),Nebbiolo,Elio Grasso,93
Kerin Oâ€™Keefe,Capichera 2013 Vermentino (Isola dei Nuraghi),Vermentino,Capichera,93
Kerin Oâ€™Keefe,Cascina delle Rose 2012 Rio Sordo  (Barbaresco),Nebbiolo,Cascina delle Rose,93
Kerin Oâ€™Keefe,Coli 2012 Pratale  (Chianti Classico),Red Blend,Coli,87
Kerin Oâ€™Keefe,Fattoria di Petroio 2010 Lenzi  (Chianti Classico),Red Blend,Fattoria di Petroio,87
Kerin Oâ€™Keefe,Vignamaggio 2011 Terre di Prenzano  (Chianti Classico),Sangiovese,Vignamaggio,87
Kerin Oâ€™Keefe,Poggio Bonelli 2011  Chianti Classico,Red Blend,Poggio Bonelli,87
Kerin Oâ€™Keefe,Poggio Nardone 2012  Morellino di Scansano,Red Blend,Poggio Nardone,87
Kerin Oâ€™Keefe,Banfi 2010 Riserva  (Chianti Classico),Red Blend,Banfi,87
Kerin Oâ€™Keefe,Bindi Sergardi 2009 Riserva  (Chianti Classico),Red Blend,Bindi Sergardi,87
Kerin Oâ€™Keefe,Vite Colte 2012 Essenze  (Barolo),Nebbiolo,Vite Colte,88
Kerin Oâ€™Keefe,Francesco Rinaldi 2012  Barolo,Nebbiolo,Francesco Rinaldi,88
Kerin Oâ€™Keefe,Revello Fratelli 2012 Conca  (Barolo),Nebbiolo,Revello Fratelli,88
Kerin Oâ€™Keefe,San Biagio 2012  Barolo,Nebbiolo,San Biagio,88
Kerin Oâ€™Keefe,Citari 2012 Sorgente  (Lugana),Turbiana,Citari,85
,Calatrasi 2010 Terre di Ginestra BlanQ White (Sicilia),White Blend,Calatrasi,87
,Il Conte 2009 Villa Prandone Navicchio  (Offida Pecorino),Pecorino,Il Conte,87
,La Viarte 2010 Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,La Viarte,87
,La Corte 2008 Solyss Negroamaro (Puglia),Negroamaro,La Corte,87
Kerin Oâ€™Keefe,Villa Erbice 2007 Tremenel  (Amarone della Valpolicella),Red Blend,Villa Erbice,91
Kerin Oâ€™Keefe,Villa Crespia NV Numerozero Dosaggio Zero Chardonnay (Franciacorta),Chardonnay,Villa Crespia,90
Kerin Oâ€™Keefe,Allegrini 2010 Recioto Giovanni Allegrini  (Valpolicella Classico),Red Blend,Allegrini,90
Kerin Oâ€™Keefe,Bellavista NV CuvÃ©e Brut Sparkling (Franciacorta),Sparkling Blend,Bellavista,90
Kerin Oâ€™Keefe,Castelli del Grevepesa 2009 Riserva Castello di Bibbione  (Chianti Classico),Sangiovese,Castelli del Grevepesa,90
Kerin Oâ€™Keefe,Amantis 2014 Goghi Red (Toscana),Red Blend,Amantis,87
,Pioiero 2006 Cascina Pioiero  (Roero Arneis),Arneis,Pioiero,84
,Pio Cesare 2005  Dolcetto d'Alba,Dolcetto,Pio Cesare,84
,Poderi Colla 2004  Nebbiolo d'Alba,Nebbiolo,Poderi Colla,84
,Pio Cesare 2004  Barbera d'Alba,Barbera,Pio Cesare,84
,Cascina Bongiovanni 2006 Arneis (Langhe),Arneis,Cascina Bongiovanni,84
,Conterno Fantino 2005 Bricco Bastia  (Dolcetto d'Alba),Dolcetto,Conterno Fantino,84
,Castelvero 2006 Cortese (Piedmont),Cortese,Castelvero,84
,Pio Cesare 2003  Nebbiolo d'Alba,Nebbiolo,Pio Cesare,84
,Latium di Morini 2010 Campo le Calle  (Soave),Garganega,Latium di Morini,87
,Lisabella NV Gran ResÃ¨e Prosecco (Colli Trevigiani),Prosecco,Lisabella,84
,Mionetto NV Certified Organic Extra Dry Prosecco (Veneto),Prosecco,Mionetto,84
,Campomaggio 1998  Chianti Classico,Sangiovese,Campomaggio,82
,Pruneto 1996 Riserva  (Chianti Classico),Sangiovese,Pruneto,82
,Piccini 1999  Chianti,Sangiovese,Piccini,82
,Colognole 1997 Chianti Rufina  (Chianti Rufina),Sangiovese,Colognole,81
,Valiano 1997  Chianti Classico,Sangiovese,Valiano,81
,Tenuta Ponte 2005 Aglianico (Irpinia),Aglianico,Tenuta Ponte,84
,Vigne & Vini 2004 Moi  (Primitivo di Manduria),Primitivo,Vigne & Vini,84
,Tiamo 2005 Sangiovese (Puglia),Sangiovese,Tiamo,84
,Giuseppe Apicella 2006 Costa d'Amalfi Tramonti Red (Campania),Red Blend,Giuseppe Apicella,84
,Digi Or NV Coda di Volpe (Lacryma Christi del Vesuvio),Coda di Volpe,Digi Or,84
Kerin Oâ€™Keefe,Duca di Saragnano 2014  Rosso di Montepulciano,Red Blend,Duca di Saragnano,87
Kerin Oâ€™Keefe,Nittardi 2013 Belcanto  (Chianti Classico),Red Blend,Nittardi,87
Kerin Oâ€™Keefe,Rocca delle MacÃ¬e 2014 Famiglia Zingarelli  (Chianti Classico),Red Blend,Rocca delle MacÃ¬e,87
Kerin Oâ€™Keefe,San Fabiano Calcinaia 2013  Chianti Classico,Red Blend,San Fabiano Calcinaia,87
Kerin Oâ€™Keefe,Villa Calcinaia 2012 Piegaia Riserva  (Chianti Classico),Sangiovese,Villa Calcinaia,87
,Andreola Orsola NV Dirupo Brut  (Prosecco di Valdobbiadene),Prosecco,Andreola Orsola,87
,Adami NV Bosco di Gica Brut  (Prosecco di Valdobbiadene),Prosecco,Adami,87
,Bellussi NV Belcanto Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Bellussi,87
,Col Vetoraz Spumanti NV Extra Dry  (Prosecco di Valdobbiadene),Prosecco,Col Vetoraz Spumanti,87
,La Tordera NV Brut  (Prosecco di Conegliano e Valdobbiadene),Prosecco,La Tordera,87
,Valdo NV CuvÃ©e del Fondatore  (Prosecco di Valdobbiadene),Prosecco,Valdo,87
,Villa Sandi NV Dry CuvÃ©e  (Prosecco di Conegliano e Valdobbiadene),Prosecco,Villa Sandi,87
,La Scolca 2007 Black Label  (Gavi),Cortese,La Scolca,87
,Cantine San Silvestro 2008 Aleramico  (Barbera d'Asti),Barbera,Cantine San Silvestro,87
,CarlindePaolo 2007 Ad Libitum  (Barbera d'Asti Superiore),Barbera,CarlindePaolo,87
,Cascina delle Rose 2007 Rio Sordo  (Barbaresco),Nebbiolo,Cascina delle Rose,87
,Ponchione Maurizio 2007 Monfrini  (Roero),Nebbiolo,Ponchione Maurizio,87
,Prinsi 2007 Vigneto Much  (Barbera d'Alba Superiore),Barbera,Prinsi,87
,Produttori del Barbaresco 2008 Nebbiolo (Langhe),Nebbiolo,Produttori del Barbaresco,87
,Rizzi 2008  Barbera d'Alba,Barbera,Rizzi,87
,Tenuta La Marchesa 2007 Saula Red (Monferrato),Red Blend,Tenuta La Marchesa,87
,Tenuta La Meridiana 2008 Le Gagie  (Barbera d'Asti),Barbera,Tenuta La Meridiana,87
,Cantine Volpi 2007 Vobis Tua  (Barbera d'Asti),Barbera,Cantine Volpi,87
,Cascina CÃ  Rossa 2006 Monpissano Riserva  (Roero),Nebbiolo,Cascina CÃ  Rossa,87
,Cascina Chicco 2007 Montespinato  (Roero),Nebbiolo,Cascina Chicco,87
Kerin Oâ€™Keefe,Cantina del Nebbiolo 2014  Barbaresco,Nebbiolo,Cantina del Nebbiolo,90
Kerin Oâ€™Keefe,Cascina delle Rose 2014 Tre Stelle  (Barbaresco),Nebbiolo,Cascina delle Rose,90
Kerin Oâ€™Keefe,Cascina Morassino 2014 Ovello  (Barbaresco),Nebbiolo,Cascina Morassino,90
Kerin Oâ€™Keefe,Cusumano 2014 SÃ gana Tenuta San Giacomo Nero d'Avola (Sicilia),Nero d'Avola,Cusumano,90
Kerin Oâ€™Keefe,Astoria NV Dry  (Valdobbiadene Prosecco Superiore),Glera,Astoria,87
Kerin Oâ€™Keefe,Col Vetoraz 2016 Dry  (Valdobbiadene Prosecco Superiore),Glera,Col Vetoraz,87
Kerin Oâ€™Keefe,Drusian NV Col Fondo  (Prosecco Treviso),Glera,Drusian,87
Kerin Oâ€™Keefe,Masottina NV Extra Dry  (Prosecco Treviso),Glera,Masottina,87
Kerin Oâ€™Keefe,De Stefani 2016 Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,De Stefani,87
Kerin Oâ€™Keefe,Dirupi 2013  Valtellina Superiore,Nebbiolo,Dirupi,91
,Bonazzi Dario e Fabio 2001 El Dario Red (Rosso del Veronese),Red Blend,Bonazzi Dario e Fabio,89
,Bonazzi Dario e Fabio 2005 San Nicola Red (Rosso del Veronese),Red Blend,Bonazzi Dario e Fabio,89
,Mario Garrone 2008  Barbera del Monferrato,Barbera,Mario Garrone,84
Kerin Oâ€™Keefe,Tenute Silvio Nardi 2012  Brunello di Montalcino,Sangiovese,Tenute Silvio Nardi,91
Kerin Oâ€™Keefe,La Braccesca 2013  Vino Nobile di Montepulciano,Red Blend,La Braccesca,91
Kerin Oâ€™Keefe,Villa Raiano 2012 Contrada Marotta  (Greco di Tufo),Greco,Villa Raiano,92
Kerin Oâ€™Keefe,Biondi 2012 San NicolÃ²  (Etna),Nerello Mascalese,Biondi,92
Kerin Oâ€™Keefe,Valle dell'Acate 2011  Cerasuolo di Vittoria Classico,Red Blend,Valle dell'Acate,92
Kerin Oâ€™Keefe,Montevetrano 2010 Montevetrano Red (Colli di Salerno),Red Blend,Montevetrano,92
Kerin Oâ€™Keefe,Isole e Olena 2010  Chianti Classico,Red Blend,Isole e Olena,96
Kerin Oâ€™Keefe,Villa Cafaggio 2009 Riserva  (Chianti Classico),Sangiovese,Villa Cafaggio,94
Kerin Oâ€™Keefe,Contrade di Taurasi - Lonardo 2009 Coste  (Taurasi),Aglianico,Contrade di Taurasi - Lonardo,91
Kerin Oâ€™Keefe,Donnafugata 2008 Mille e Una Notte  (Contessa Entellina),Red Blend,Donnafugata,91
Kerin Oâ€™Keefe,Planeta 2011 Chardonnay (Sicilia),Chardonnay,Planeta,91
Kerin Oâ€™Keefe,Madonna Nera 2014  Rosso di Montalcino,Sangiovese,Madonna Nera,87
Kerin Oâ€™Keefe,Molino di Sant'Antimo 2014  Rosso di Montalcino,Sangiovese,Molino di Sant'Antimo,87
Kerin Oâ€™Keefe,Querce Bettina 2013  Rosso di Montalcino,Sangiovese,Querce Bettina,87
Kerin Oâ€™Keefe,San Lorenzo 2014  Rosso di Montalcino,Sangiovese,San Lorenzo,87
Kerin Oâ€™Keefe,Capanne Ricci 2014  Rosso di Montalcino,Sangiovese,Capanne Ricci,87
Kerin Oâ€™Keefe,Castello Romitorio 2014  Rosso di Montalcino,Sangiovese,Castello Romitorio,87
Kerin Oâ€™Keefe,Col d'Orcia 2013 Banditella  (Rosso di Montalcino),Sangiovese,Col d'Orcia,87
Kerin Oâ€™Keefe,Collelceto 2014  Rosso di Montalcino,Sangiovese,Collelceto,87
Kerin Oâ€™Keefe,Donatella Cinelli Colombini 2014  Rosso di Montalcino,Sangiovese,Donatella Cinelli Colombini,87
Kerin Oâ€™Keefe,Tenute Costa 2015 Terre di Fiori  (Morellino di Scansano),Sangiovese,Tenute Costa,87
,Gualdo del Re 2007 I'Rennero Merlot (Val di Cornia Suvereto),Merlot,Gualdo del Re,92
,Volpaia 2008 Balifico Red (Toscana),Red Blend,Volpaia,92
,Castello del Terriccio 2006 Lupicaia Red (Toscana),Red Blend,Castello del Terriccio,92
,Cecchi 2008 Riserva di Famiglia  (Chianti Classico),Sangiovese,Cecchi,92
,Caccia al Piano 1868 2008 Levia Gravia  (Bolgheri Superiore),Red Blend,Caccia al Piano 1868,92
,Campo al Mare 2009 Baia al Vento  (Bolgheri Superiore),Red Blend,Campo al Mare,92
,Caparzo 2007  Brunello di Montalcino,Sangiovese Grosso,Caparzo,92
,Giuseppe Lonardi 2007  Valpolicella Classico Superiore Ripasso,"Corvina, Rondinella, Molinara",Giuseppe Lonardi,85
,Zenato 2007  Valpolicella Superiore,"Corvina, Rondinella, Molinara",Zenato,85
,Villa Canestrari 2006 I Lasi  (Valpolicella Superiore Ripasso),"Corvina, Rondinella, Molinara",Villa Canestrari,85
,Villalta 2008  Valpolicella Ripasso,"Corvina, Rondinella, Molinara",Villalta,85
,Fratta Pasini 2006  Valpolicella Classico,"Corvina, Rondinella, Molinara",Fratta Pasini,85
,San Cassiano 2007  Valpolicella Superiore,"Corvina, Rondinella, Molinara",San Cassiano,85
Kerin Oâ€™Keefe,Feudi di San Gregorio 2011  Taurasi,Aglianico,Feudi di San Gregorio,91
Kerin Oâ€™Keefe,Guastaferro 2011 Memini Aglianico (Irpinia),Aglianico,Guastaferro,91
Kerin Oâ€™Keefe,Mario Gagliasso 2009 Torriglione  (Barolo),Nebbiolo,Mario Gagliasso,89
,La Collina dei Lecci 2007 Riserva  (Brunello di Montalcino),Sangiovese Grosso,La Collina dei Lecci,89
,La Palazzetta 2008  Brunello di Montalcino,Sangiovese Grosso,La Palazzetta,89
,La Torre 2008  Brunello di Montalcino,Sangiovese Grosso,La Torre,89
,Fuligni 2008  Brunello di Montalcino,Sangiovese Grosso,Fuligni,89
,La Colombina 2008  Brunello di Montalcino,Sangiovese Grosso,La Colombina,89
,Lisini 2008  Brunello di Montalcino,Sangiovese Grosso,Lisini,89
,Terre Nere di Campigli - Vallone 2008  Brunello di Montalcino,Sangiovese Grosso,Terre Nere di Campigli - Vallone,89
,Pieve Santa Restituta 2008 Sugarille  (Brunello di Montalcino),Sangiovese Grosso,Pieve Santa Restituta,89
Kerin Oâ€™Keefe,Duca di Salaparuta 2008 Duca Enrico Nero d'Avola (Sicilia),Nero d'Avola,Duca di Salaparuta,90
Kerin Oâ€™Keefe,Feudo Arancio 2011 Hedonis Red (Terre Siciliane),Red Blend,Feudo Arancio,90
Kerin Oâ€™Keefe,Fontanavecchia 2007 Vigna Cataratte Riserva  (Aglianico del Taburno),Aglianico,Fontanavecchia,90
Kerin Oâ€™Keefe,Girolamo Russo 2011 Feudo di Mezzo Rosso  (Etna),Nerello Mascalese,Girolamo Russo,90
Kerin Oâ€™Keefe,Terredora 2009 Pago dei Fusi  (Taurasi),Aglianico,Terredora,90
Kerin Oâ€™Keefe,Mangiacane 2011 Riserva  (Chianti Classico),Red Blend,Mangiacane,89
Kerin Oâ€™Keefe,Castello di Bolgheri 2014 VarvÃ ra  (Bolgheri),Red Blend,Castello di Bolgheri,89
Kerin Oâ€™Keefe,Donne Fittipaldi 2013  Bolgheri Superiore,Red Blend,Donne Fittipaldi,89
Kerin Oâ€™Keefe,Fattoria Torre a Cona 2013 Riserva  (Chianti Colli Fiorentini),Sangiovese,Fattoria Torre a Cona,89
Kerin Oâ€™Keefe,Le Farnete 2014  Carmignano,Red Blend,Le Farnete,89
Kerin Oâ€™Keefe,Marchesi Gondi 2012 Pian dei Sorbi Riserva  (Chianti Rufina),Red Blend,Marchesi Gondi,89
Kerin Oâ€™Keefe,Pratesi 2014 Carmione  (Carmignano),Red Blend,Pratesi,89
,Tenuta delle Terre Nere 2008 Calderara Sottana  (Etna),Red Blend,Tenuta delle Terre Nere,93
,Abbazia Santa Anastasia 2005 Litra Cabernet Sauvignon (Sicilia),Cabernet Sauvignon,Abbazia Santa Anastasia,92
,Benanti 2008 Serra della Contessa  (Etna),Red Blend,Benanti,92
,Feudo Maccari 2010 Sultana  (Moscato di Noto),Moscato,Feudo Maccari,92
,Graci 2009 Quota 600  (Etna),Nerello Mascalese,Graci,92
Kerin Oâ€™Keefe,Villa Canestrari 2014 Vigne di Sande  (Soave),White Blend,Villa Canestrari,85
Kerin Oâ€™Keefe,Cabert 2014 Pinot Grigio (Friuli Grave),Pinot Grigio,Cabert,85
